TurbID,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Prtv,T2m,Sp,RelH,Wspd_w,Wdir_w,Patv
36,2021-01-01 00:10:00,4.51,3.8,-1.7,10.44,228.47,0.01,0.0,-14.089203,86157.33,0.7187907,3.6479738,312.6967163,298.76
36,2021-01-01 00:20:00,5.19,1.0,-1.75,10.3,228.47,0.01,0.0,-14.089203,86157.33,0.7187907,3.6479738,312.6967163,381.78
36,2021-01-01 00:30:00,5.2,0.4,-1.84,10.2,228.47,0.01,0.0,-14.089203,86157.33,0.7187907,3.6479738,312.6967163,373.39
36,2021-01-01 00:40:00,4.81,-3.1,-1.9,10.24,228.47,0.01,0.0,-14.089203,86157.33,0.7187907,3.6479738,312.6967163,310.78
36,2021-01-01 00:50:00,4.75,-3.7,-1.9,10.29,228.47,0.01,0.0,-14.089203,86157.33,0.7187907,3.6479738,312.6967163,292.35
36,2021-01-01 01:00:00,3.33,-5.9,-1.9,10.28,220.91,0.01,0.0,-15.8974,86135.81,0.7504214,3.297597,317.0020142,151.13
36,2021-01-01 01:10:00,3.0,-6.2,-1.98,10.02,213.32,0.01,0.0,-15.8974,86135.81,0.7504214,3.297597,317.0020142,111.33
36,2021-01-01 01:20:00,3.14,-2.6,-2.1,9.96,205.59,0.01,0.0,-15.8974,86135.81,0.7504214,3.297597,317.0020142,108.99
36,2021-01-01 01:30:00,3.22,-0.6,-2.19,9.78,197.48,0.01,0.0,-15.8974,86135.81,0.7504214,3.297597,317.0020142,124.53
36,2021-01-01 01:40:00,3.25,0.6,-2.2,9.7,195.02,0.01,0.0,-15.8974,86135.81,0.7504214,3.297597,317.0020142,120.65
36,2021-01-01 01:50:00,2.84,6.2,-2.22,9.62,195.02,0.01,0.0,-15.8974,86135.81,0.7504214,3.297597,317.0020142,92.04
36,2021-01-01 02:00:00,2.59,6.7,-2.34,9.5,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,71.34
36,2021-01-01 02:10:00,2.47,4.5,-2.47,9.37,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,65.67
36,2021-01-01 02:10:00,2.47,4.5,-2.47,9.37,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,65.67
36,2021-01-01 02:10:00,2.47,4.5,-2.47,9.37,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,65.67
36,2021-01-01 02:10:00,2.47,4.5,-2.47,9.37,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,65.67
36,2021-01-01 02:10:00,2.47,4.5,-2.47,9.37,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,65.67
36,2021-01-01 02:10:00,2.47,4.5,-2.47,9.37,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,65.67
36,2021-01-01 02:10:00,2.47,4.5,-2.47,9.37,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,65.67
36,2021-01-01 02:10:00,2.47,4.5,-2.47,9.37,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,65.67
36,2021-01-01 02:10:00,2.47,4.5,-2.47,9.37,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,65.67
36,2021-01-01 02:10:00,2.47,4.5,-2.47,9.37,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,65.67
36,2021-01-01 02:20:00,2.6,5.5,-2.54,9.3,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,71.95
36,2021-01-01 02:20:00,2.6,5.5,-2.54,9.3,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,71.95
36,2021-01-01 02:20:00,2.6,5.5,-2.54,9.3,195.02,0.01,0.0,-16.208282,86093.84,0.7461252,3.4382536,321.4927979,71.95
