cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,0,960000,2,536,268,72
1,5,960000,2,536,268,77
2,12,960000,2,536,268,84
3,14,960000,2,536,268,86
4,23,960000,2,536,268,95
5,24,960000,2,536,268,96
6,30,960000,2,536,268,102
7,37,960000,2,536,268,109
8,40,960000,2,536,268,112
9,47,960000,2,536,268,119
10,51,960000,2,536,268,123
11,53,960000,2,536,268,125
12,58,960000,2,536,268,130
13,65,960000,2,536,268,137
14,71,960000,2,536,268,143
15,74,960000,2,536,268,146
16,77,960000,2,536,268,149
17,83,960000,2,536,268,155
18,86,960000,2,536,268,158
19,94,960000,2,536,268,166
20,99,960000,2,536,268,171
21,104,960000,2,536,268,176
22,106,960000,2,536,268,178
23,112,960000,2,536,268,184
24,116,960000,2,536,268,188
25,122,960000,2,536,268,194
26,124,960000,2,536,268,196
27,130,960000,2,536,268,202
28,137,960000,2,536,268,209
29,143,960000,2,536,268,215
30,145,960000,2,536,268,217
31,148,960000,2,536,268,220
32,153,960000,2,536,268,225
33,159,960000,2,536,268,231
34,164,960000,2,536,268,236
