cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,34,1920000,2,536,268,178
1,64,1920000,2,536,268,208
2,109,1920000,2,536,268,253
3,184,1920000,2,536,268,328
4,236,1920000,2,536,268,380
5,242,1920000,2,536,268,386
6,324,1920000,2,536,268,468
7,342,1920000,2,536,268,486
8,406,1920000,2,536,268,550
9,462,1920000,2,536,268,606
10,485,1920000,2,536,268,629
11,551,1920000,2,536,268,695
12,582,1920000,2,536,268,726
13,625,1920000,2,536,268,769
14,697,1920000,2,536,268,841
15,764,1920000,2,536,268,908
16,777,1920000,2,536,268,921
17,818,1920000,2,536,268,962
18,897,1920000,2,536,268,1041
19,958,1920000,2,536,268,1102
