cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,0,960000,2,536,268,96
1,6,960000,2,536,268,102
2,9,960000,2,536,268,105
3,16,960000,2,536,268,112
4,22,960000,2,536,268,118
5,24,960000,2,536,268,120
6,29,960000,2,536,268,125
7,36,960000,2,536,268,132
8,40,960000,2,536,268,136
9,47,960000,2,536,268,143
10,50,960000,2,536,268,146
11,55,960000,2,536,268,151
12,59,960000,2,536,268,155
13,66,960000,2,536,268,162
14,67,960000,2,536,268,163
15,74,960000,2,536,268,170
16,76,960000,2,536,268,172
17,82,960000,2,536,268,178
18,90,960000,2,536,268,186
19,95,960000,2,536,268,191
