cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,6,960000,2,536,268,102
1,9,960000,2,536,268,105
2,17,960000,2,536,268,113
3,26,960000,2,536,268,122
4,34,960000,2,536,268,130
5,44,960000,2,536,268,140
6,52,960000,2,536,268,148
7,59,960000,2,536,268,155
8,67,960000,2,536,268,163
9,74,960000,2,536,268,170
10,87,960000,2,536,268,183
11,93,960000,2,536,268,189
12,97,960000,2,536,268,193
13,105,960000,2,536,268,201
14,118,960000,2,536,268,214
15,124,960000,2,536,268,220
16,135,960000,2,536,268,231
17,136,960000,2,536,268,232
18,147,960000,2,536,268,243
19,159,960000,2,536,268,255
