step,dc,dc_current_green_power_w,dc_current_power_w,dc_green_ratio,dc_cumulative_wasted_green_wh,dc_future_short_mean,dc_future_short_trend,dc_future_long_mean,dc_future_long_peak_timing,dc_queue_sizes,dc_utilizations,dc_available_pes,dc_ram_utilizations
0,0,1954.5133056640625,0.0,0.0,0.0,0.6658110618591309,-0.1937718242406845,0.11572650074958801,0.0,0.0,0.0,480.0,0.75
0,1,1469.7933349609375,0.0,0.0,0.0,0.5049357414245605,-0.2224964052438736,0.12886931002140045,0.0,0.0,0.0,384.0,0.75
0,2,194.9066619873047,0.0,0.0,0.0,0.2506665289402008,-0.1148739829659462,0.08903899043798447,0.0,0.0,0.0,296.0,0.4625000059604645
0,3,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,240.0,0.46875
0,4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,144.0,0.75
1,0,1962.8533935546875,0.0,0.0,1.0904741287231445,0.6658110618591309,-0.1937718242406845,0.11572650074958801,0.0,0.0,0.0,480.0,0.75
1,1,1408.9932861328125,0.0,0.0,0.7827740907669067,0.5049357414245605,-0.2224964052438736,0.12886931002140045,0.0,0.0,0.0,384.0,0.75
1,2,230.52667236328125,0.0,0.0,0.12807036936283112,0.2506665289402008,-0.1148739829659462,0.08903899043798447,0.0,0.0,0.0,296.0,0.4625000059604645
1,3,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,2.0,0.0,240.0,0.46875
1,4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,144.0,0.75
2,0,1897.2733154296875,0.0,0.0,1.6174944639205933,0.6658110618591309,-0.1937718242406845,0.11572650074958801,0.0,0.0,0.0,480.0,0.75
2,1,1305.2332763671875,0.0,0.0,1.1453388929367065,0.5049357414245605,-0.2224964052438736,0.12886931002140045,0.0,0.0,0.0,384.0,0.75
2,2,171.9600067138672,27.233125686645508,1.0,0.16827228665351868,0.2506665289402008,-0.1148739829659462,0.08903899043798447,0.0,0.0,0.0012499999720603228,296.0,0.4625000059604645
2,3,0.0,53.19968795776367,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0023437500931322575,240.0,0.46875
2,4,0.0,51.5625,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0062500000931322575,144.0,0.75
3,0,1887.1466064453125,0.0,0.0,2.1417019367218018,0.6658110618591309,-0.1937718242406845,0.11572650074958801,0.0,0.0,0.0,480.0,0.75
3,1,1111.546630859375,26.375,1.0,1.4467754364013672,0.5049357414245605,-0.2224964052438736,0.12886931002140045,0.0,0.0,0.0015625000232830644,384.0,0.75
3,2,454.1400146484375,54.466251373291016,1.0,0.2792927622795105,0.2506665289402008,-0.1148739829659462,0.08903899043798447,0.0,0.0,0.0024999999441206455,296.0,0.4625000059604645
3,3,0.0,80.43281555175781,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.00390625,240.0,0.46875
3,4,0.0,51.5625,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0062500000931322575,144.0,0.75
4,0,1873.473388671875,0.0,0.0,2.6621110439300537,0.6658110618591309,-0.1937718242406845,0.11572650074958801,0.0,0.0,0.0,480.0,0.75
4,1,1028.0999755859375,26.375,1.0,1.7250324487686157,0.5049357414245605,-0.2224964052438736,0.12886931002140045,0.0,0.0,0.0015625000232830644,384.0,0.75
4,2,361.3599853515625,54.466251373291016,1.0,0.36454102396965027,0.2506665289402008,-0.1148739829659462,0.08903899043798447,0.0,0.0,0.0024999999441206455,296.0,0.4625000059604645
4,3,0.0,82.96593475341797,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0054687499068677425,240.0,0.46875
4,4,0.0,76.75,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.008333333767950535,144.0,0.75
5,0,1709.5799560546875,51.5625,1.0,3.122671604156494,0.6658110618591309,-0.1937718242406845,0.11572650074958801,0.0,0.0,0.0018749999580904841,480.0,0.75
5,1,634.4533081054688,26.375,1.0,1.8939430713653564,0.5049357414245605,-0.2224964052438736,0.12886931002140045,0.0,0.0,0.0015625000232830644,384.0,0.75
5,2,440.2933349609375,81.69937133789062,1.0,0.46415045857429504,0.2506665289402008,-0.1148739829659462,0.08903899043798447,0.0,0.0,0.0037499999161809683,296.0,0.4625000059604645
5,3,0.0,82.96593475341797,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0054687499068677425,240.0,0.46875
5,4,0.0,79.125,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.012500000186264515,144.0,0.75
6,0,1627.913330078125,51.5625,1.0,3.560546875,0.700710117816925,-0.17915086448192596,0.20640048384666443,0.0,1.0,0.0018749999580904841,480.0,0.75
6,1,423.6600036621094,26.375,1.0,2.004300117492676,0.8227666020393372,-0.12312843650579453,0.6956431865692139,0.1118881106376648,0.0,0.0015625000232830644,384.0,0.75
6,2,251.35333251953125,108.93250274658203,1.0,0.5037118196487427,0.451601505279541,0.018519079312682152,0.20156146585941315,0.00699300691485405,0.0,0.004999999888241291,296.0,0.4625000059604645
6,3,0.0,82.96593475341797,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0054687499068677425,240.0,0.46875
6,4,0.0,79.125,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.012500000186264515,144.0,0.75
7,0,1580.9599609375,77.9375,1.0,3.978053092956543,0.700710117816925,-0.17915086448192596,0.20640048384666443,0.0,0.0,0.0031250000465661287,480.0,0.75
7,1,331.79998779296875,26.375,1.0,2.0891401767730713,0.8227666020393372,-0.12312843650579453,0.6956431865692139,0.1118881106376648,1.0,0.0015625000232830644,384.0,0.75
7,2,145.44667053222656,108.93250274658203,1.0,0.5138546228408813,0.451601505279541,0.018519079312682152,0.20156146585941315,0.00699300691485405,0.0,0.004999999888241291,296.0,0.4625000059604645
7,3,0.0,82.96593475341797,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0054687499068677425,240.0,0.46875
7,4,0.0,81.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.01666666753590107,144.0,0.75
8,0,1236.28662109375,77.9375,1.0,4.299816608428955,0.700710117816925,-0.17915086448192596,0.20640048384666443,0.0,0.0,0.0031250000465661287,480.0,0.75
8,1,587.8599853515625,55.125,1.0,2.2371222972869873,0.8227666020393372,-0.12312843650579453,0.6956431865692139,0.1118881106376648,0.0,0.004687500186264515,384.0,0.75
8,2,275.6666564941406,108.93250274658203,1.0,0.5601696968078613,0.451601505279541,0.018519079312682152,0.20156146585941315,0.00699300691485405,0.0,0.004999999888241291,296.0,0.4625000059604645
8,3,0.0,82.96593475341797,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0054687499068677425,240.0,0.46875
8,4,0.0,81.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.01666666753590107,144.0,0.75
9,0,1234.0133056640625,77.9375,1.0,4.620948791503906,0.700710117816925,-0.17915086448192596,0.20640048384666443,0.0,0.0,0.0031250000465661287,480.0,0.75
9,1,553.239990234375,55.125,1.0,2.3754875659942627,0.8227666020393372,-0.12312843650579453,0.6956431865692139,0.1118881106376648,0.0,0.004687500186264515,384.0,0.75
9,2,322.17333984375,136.16561889648438,1.0,0.6118384599685669,0.451601505279541,0.018519079312682152,0.20156146585941315,0.00699300691485405,0.0,0.0062500000931322575,296.0,0.4625000059604645
9,3,0.0,82.96593475341797,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0054687499068677425,240.0,0.46875
9,4,0.0,81.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.01666666753590107,144.0,0.75
10,0,1259.913330078125,130.6875,1.0,4.934622764587402,0.700710117816925,-0.17915086448192596,0.20640048384666443,0.0,0.0,0.005625000223517418,480.0,0.75
10,1,347.913330078125,55.125,1.0,2.456817626953125,0.8227666020393372,-0.12312843650579453,0.6956431865692139,0.1118881106376648,0.0,0.004687500186264515,378.0,0.75
10,2,367.05999755859375,136.16561889648438,1.0,0.6759757995605469,0.451601505279541,0.018519079312682152,0.20156146585941315,0.00699300691485405,0.0,0.0062500000931322575,296.0,0.4625000059604645
10,3,0.0,112.73218536376953,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.008593750186264515,240.0,0.46875
10,4,0.0,82.6875,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.01875000074505806,144.0,0.75
