episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,74,64,73,offset,1.0,73.0,64.0,0.0,False
1,1,1,32,1920000.0,48,29,100,94,64,93,offset,1.0,93.0,64.0,0.0,False
1,2,0,32,1920000.0,48,41,112,106,64,105,offset,1.0,105.0,64.0,0.0,False
1,3,1,32,1920000.0,48,48,119,113,64,112,offset,1.0,112.0,64.0,0.0,False
1,4,1,32,1920000.0,48,62,133,127,64,126,offset,1.0,126.0,64.0,0.0,False
1,5,2,32,1920000.0,48,92,163,157,64,156,offset,1.0,156.0,64.0,0.0,False
1,6,1,32,1920000.0,48,100,171,133,32,132,offset,1.0,132.0,32.0,0.0,False
1,7,2,32,1920000.0,48,123,194,156,32,155,offset,1.0,155.0,32.0,0.0,False
1,9,0,32,1920000.0,48,150,221,215,64,214,offset,1.0,214.0,64.0,0.0,False
1,10,1,32,1920000.0,48,159,230,224,64,223,offset,1.0,223.0,64.0,0.0,False
1,11,1,32,1920000.0,48,174,245,239,64,238,offset,1.0,238.0,64.0,0.0,False
1,12,1,32,1920000.0,48,201,272,266,64,265,offset,1.0,265.0,64.0,0.0,False
1,13,0,32,1920000.0,48,221,292,286,64,285,offset,1.0,285.0,64.0,0.0,False
1,14,0,32,1920000.0,48,227,298,292,64,291,offset,1.0,291.0,64.0,0.0,False
1,15,0,32,1920000.0,48,241,312,306,64,305,offset,1.0,305.0,64.0,0.0,False
1,16,1,32,1920000.0,48,256,327,321,64,320,offset,1.0,320.0,64.0,0.0,False
1,17,0,32,1920000.0,48,273,344,306,32,305,offset,1.0,305.0,32.0,0.0,False
1,18,0,32,1920000.0,48,295,366,328,32,327,offset,1.0,327.0,32.0,0.0,False
1,19,0,32,1920000.0,48,307,378,340,32,339,offset,1.0,339.0,32.0,0.0,False
1,20,1,32,1920000.0,48,323,394,340,16,339,offset,1.0,339.0,16.0,0.0,False
1,21,0,32,1920000.0,48,335,406,344,8,343,offset,1.0,343.0,8.0,0.0,False
1,23,0,32,1920000.0,48,373,444,382,8,381,offset,1.0,381.0,8.0,0.0,False
1,24,0,32,1920000.0,48,397,468,430,32,429,offset,1.0,429.0,32.0,0.0,False
1,25,0,32,1920000.0,48,402,473,435,32,434,offset,1.0,434.0,32.0,0.0,False
1,26,1,32,1920000.0,48,421,492,454,32,453,offset,1.0,453.0,32.0,0.0,False
1,27,1,32,1920000.0,48,445,516,454,8,453,offset,1.0,453.0,8.0,0.0,False
1,28,1,32,1920000.0,48,457,528,462,4,461,offset,1.0,461.0,4.0,0.0,False
1,29,0,32,1920000.0,48,473,544,476,2,475,offset,1.0,475.0,2.0,0.0,False
1,30,1,32,1920000.0,48,486,557,489,2,488,offset,1.0,488.0,2.0,0.0,False
1,31,2,32,1920000.0,48,504,575,537,32,536,offset,1.0,536.0,32.0,0.0,False
1,33,2,32,1920000.0,48,527,598,544,16,543,offset,1.0,543.0,16.0,0.0,False
