episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,1,3,32,1920000.0,48,29,100,100,99,margin,1.0,99.0,70.0,0.0,False
1,2,3,32,1920000.0,48,41,112,112,111,margin,1.0,111.0,70.0,0.0,False
1,3,0,32,1920000.0,48,48,119,119,57,green,1.0,57.0,9.0,0.0,False
1,4,0,32,1920000.0,48,62,133,133,70,green,1.0,70.0,8.0,0.0,False
1,6,0,32,1920000.0,48,100,171,171,119,green,1.0,119.0,19.0,0.0,False
1,10,0,32,1920000.0,48,159,230,230,161,green,1.0,161.0,2.0,0.0,False
1,11,0,32,1920000.0,48,174,245,245,175,green,1.0,175.0,1.0,0.0,False
1,19,0,32,1920000.0,48,307,378,378,308,green,1.0,308.0,1.0,0.0,False
1,20,0,32,1920000.0,48,323,394,394,362,green,1.0,362.0,39.0,0.0,False
1,21,2,32,1920000.0,48,335,406,406,363,green,1.0,363.0,28.0,0.0,False
1,22,2,32,1920000.0,48,356,427,427,426,margin,1.0,426.0,70.0,0.0,False
1,26,2,32,1920000.0,48,421,492,492,469,green,1.0,469.0,48.0,0.0,False
1,27,2,32,1920000.0,48,445,516,516,511,green,1.0,511.0,66.0,0.0,False
1,28,1,32,1920000.0,48,457,528,528,465,green,1.0,465.0,8.0,0.0,False
1,29,1,32,1920000.0,48,473,544,544,474,green,1.0,474.0,1.0,0.0,False
1,30,0,32,1920000.0,48,486,557,557,487,green,1.0,487.0,1.0,0.0,False
1,31,0,32,1920000.0,48,504,575,575,505,green,1.0,505.0,1.0,0.0,False
1,32,1,32,1920000.0,48,520,591,591,521,green,1.0,521.0,1.0,0.0,False
1,33,2,32,1920000.0,48,527,598,598,528,green,1.0,528.0,1.0,0.0,False
1,34,2,32,1920000.0,48,549,620,620,619,margin,1.0,619.0,70.0,0.0,False
