episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,25,15,24,offset,1.0,24.0,15.0,0.0,False
1,3,2,32,1920000.0,48,48,119,112,63,111,offset,1.0,111.0,63.0,0.0,False
1,4,1,32,1920000.0,48,62,133,133,70,132,offset,1.0,132.0,70.0,0.0,False
1,5,0,32,1920000.0,48,92,163,163,70,162,offset,1.0,162.0,70.0,0.0,False
1,6,0,32,1920000.0,48,100,171,164,63,163,offset,1.0,163.0,63.0,0.0,False
1,7,1,32,1920000.0,48,123,194,148,24,147,offset,1.0,147.0,24.0,0.0,False
1,8,1,32,1920000.0,48,134,205,153,18,152,offset,1.0,152.0,18.0,0.0,False
1,10,0,32,1920000.0,48,159,230,169,9,168,offset,1.0,168.0,9.0,0.0,False
1,12,2,32,1920000.0,48,201,272,262,60,261,offset,1.0,261.0,60.0,0.0,False
1,13,1,32,1920000.0,48,221,292,292,70,291,offset,1.0,291.0,70.0,0.0,False
1,14,1,32,1920000.0,48,227,298,298,70,297,offset,1.0,297.0,70.0,0.0,False
1,15,0,32,1920000.0,48,241,312,312,70,311,offset,1.0,311.0,70.0,0.0,False
1,16,0,32,1920000.0,48,256,327,317,60,316,offset,1.0,316.0,60.0,0.0,False
1,17,1,32,1920000.0,48,273,344,301,27,300,offset,1.0,300.0,27.0,0.0,False
1,18,0,32,1920000.0,48,295,366,320,24,319,offset,1.0,319.0,24.0,0.0,False
1,19,0,32,1920000.0,48,307,378,320,12,319,offset,1.0,319.0,12.0,0.0,False
1,20,2,32,1920000.0,48,323,394,394,70,393,offset,1.0,393.0,70.0,0.0,False
1,21,1,32,1920000.0,48,335,406,405,69,404,offset,1.0,404.0,69.0,0.0,False
1,22,2,32,1920000.0,48,356,427,426,69,425,offset,1.0,425.0,69.0,0.0,False
1,23,0,32,1920000.0,48,373,444,444,70,443,offset,1.0,443.0,70.0,0.0,False
1,24,0,32,1920000.0,48,397,468,449,51,448,offset,1.0,448.0,51.0,0.0,False
1,25,0,32,1920000.0,48,402,473,469,66,468,offset,1.0,468.0,66.0,0.0,False
1,26,0,32,1920000.0,48,421,492,476,54,475,offset,1.0,475.0,54.0,0.0,False
1,27,0,32,1920000.0,48,445,516,479,33,478,offset,1.0,478.0,33.0,0.0,False
1,28,0,32,1920000.0,48,457,528,503,45,502,offset,1.0,502.0,45.0,0.0,False
1,29,0,32,1920000.0,48,473,544,507,33,506,offset,1.0,506.0,33.0,0.0,False
1,30,0,32,1920000.0,48,486,557,535,48,534,offset,1.0,534.0,48.0,0.0,False
1,31,0,32,1920000.0,48,504,575,538,33,537,offset,1.0,537.0,33.0,0.0,False
1,32,0,32,1920000.0,48,520,591,542,21,541,offset,1.0,541.0,21.0,0.0,False
1,33,0,32,1920000.0,48,527,598,546,18,545,offset,1.0,545.0,18.0,0.0,False
