step,mode,tier,carbon,gap,completion,ontime,forced,decisions,agreement,mean_offset,mean_absolute_offset_difference,site_histogram,entropy,kl_prior,prior_action_prob,residual_min,residual_max,value_mean
8000,legacy,godeye,0.0006118220555555579,0.009992967000664654,1.0,1.0,0,35,0.2,38.714285714285715,13.542857142857143,"[5, 24, 6, 0, 0]",4.169073859024294,0.029184264579450187,0.03910194436501472,-1.1789610385894775,0.39650893211364746,-0.3138041980564594
8000,legacy,shrink0,0.004777413472222238,0.014864907826609874,1.0,1.0,0,35,0.0,44.91428571428571,44.91428571428571,"[1, 34, 0, 0, 0]",5.215688253040966,0.030591314472034715,0.0017502435632077928,-1.1626815795898438,0.3725452423095703,-0.03179335477096694
8000,legacy,shrink75,0.0009660219629629655,0.005016365293681657,1.0,1.0,0,35,0.11428571428571428,42.17142857142857,15.742857142857142,"[6, 25, 4, 0, 0]",4.824828061803354,0.029428055271264908,0.01452514894083014,-1.1678738594055176,0.3867194652557373,-0.3366779573261738
8000,recurrent,godeye,0.0006214147129629647,0.025828480657540398,1.0,1.0,0,35,0.17142857142857143,43.68571428571428,17.4,"[6, 23, 6, 0, 0]",4.175731366957918,0.02615056588109123,0.038533887900639725,-1.1101322174072266,0.3452339172363281,-0.7114509697471346
8000,recurrent,shrink0,0.005187279416666682,0.10193264151732451,1.0,1.0,0,35,0.0,53.17142857142857,53.17142857142857,"[4, 31, 0, 0, 0]",5.193386306819853,0.026979203492699638,0.002073454380154573,-1.146707534790039,0.3480367660522461,-0.44734444469213486
8000,recurrent,shrink75,0.0010334966666666666,0.07521475007736345,1.0,1.0,0,35,0.05714285714285714,45.25714285714286,19.771428571428572,"[6, 26, 3, 0, 0]",4.739193375192164,0.025097258412736346,0.015845691935278322,-1.1239261627197266,0.3346271514892578,-0.7027897719826017
16000,legacy,godeye,0.0006294251944444452,0.03905214574957072,1.0,1.0,0,35,0.02857142857142857,49.0,19.485714285714284,"[20, 10, 5, 0, 0]",4.139728918547012,0.09195776384486454,0.036076036309480516,-2.3509020805358887,1.4270479679107666,-0.7124044586505208
16000,legacy,shrink0,0.005174458527777805,0.09920910287112616,1.0,1.0,0,35,0.0,62.17142857142857,62.17142857142857,"[0, 28, 7, 0, 0]",4.998875858187926,0.09563073977407698,0.0007849596897437741,-2.363187789916992,1.4429645538330078,-0.0902102570448603
16000,legacy,shrink75,0.0014111075648148134,0.4680682740160136,1.0,1.0,0,35,0.05714285714285714,56.4,23.571428571428573,"[17, 14, 4, 0, 0]",4.602379269492115,0.0957137108354931,0.01841697943721933,-2.3500006198883057,1.4232056140899658,-0.7664990448525973
16000,recurrent,godeye,0.000629771027777779,0.03962304578700793,1.0,1.0,0,35,0.11428571428571428,50.91428571428571,19.771428571428572,"[20, 9, 6, 0, 0]",4.106413776390338,0.0799114601108274,0.040495253462020216,-2.3179874420166016,1.4192192554473877,-1.2512781580643995
16000,recurrent,shrink0,0.005056558750000017,0.07416367864671303,1.0,1.0,0,35,0.0,63.857142857142854,63.857142857142854,"[4, 27, 4, 0, 0]",5.060840767121642,0.0750674130797818,0.0015140535911274669,-2.360149383544922,1.4250266551971436,-0.6450991731669221
